expo,table,project,sponsors,link,category,special
1,1,Test project change,Domain.com,http://disruptsf2016.devpost.com/submissions/56580-las-vegas-birthday-club,,
1,2,Plan My Trip,"Amazon Alexa, MapQuest",http://disruptsf2016.devpost.com/submissions/56585-plan-my-trip,,
1,3,Bring Me Joy,"Domain.com, Twilio, Amazon Alexa, IBM Watson, TechCrunch/Crunchbase/WP data hack",http://disruptsf2016.devpost.com/submissions/56586-bring-me-joy,,
1,4,Panny,Panasonic Avionics,http://disruptsf2016.devpost.com/submissions/56587-panny,,
1,5,Lannister.club,"Braintree, Domain.com, Amazon Alexa",http://disruptsf2016.devpost.com/submissions/56590-lannister-club,,
1,6,Doctor Pepper,"Cisco, SoftBank Robotics America, Harman International: Best use of Everest Headphones SDK, IBM Watson",http://disruptsf2016.devpost.com/submissions/56596-doctor-pepper,,
1,7,Pepper the Inflight Service Bot,"US Department of Commerce, HERE, SoftBank Robotics America, Braintree, Domain.com, Panasonic Avionics, Radix, IBM Watson",http://disruptsf2016.devpost.com/submissions/56598-pepper-the-inflight-service-bot,,
1,8,Prioritized TODO,Harman International: Best use of Everest Headphones SDK,http://disruptsf2016.devpost.com/submissions/56604-prioritized-todo,,
1,9,Stenographer,"Twilio, Amazon Alexa",http://disruptsf2016.devpost.com/submissions/56610-stenographer,,
1,10,hostbuddy,"Radix, IBM Watson",http://disruptsf2016.devpost.com/submissions/56615-hostbuddy,,
1,11,The Fake Number Club,"Domain.com, Twilio, Radix",http://disruptsf2016.devpost.com/submissions/56626-the-fake-number-club,,
1,12,Eagle Chat Online,"Cisco, Radix, IBM Watson",http://disruptsf2016.devpost.com/submissions/56628-eagle-chat-online,,
1,13,GroupGlimpse.CLUB,"HERE, Domain.com, Twilio",http://disruptsf2016.devpost.com/submissions/56629-groupglimpse-club,,
1,14,Compile High Club,"SoftBank Robotics America, Domain.com, MapQuest",http://disruptsf2016.devpost.com/submissions/56633-compile-high-club,,
1,15,FullCircle.host,"Twilio, Radix",http://disruptsf2016.devpost.com/submissions/56634-fullcircle-host,,
1,16,LaunchMe.site,Radix,http://disruptsf2016.devpost.com/submissions/56640-launchme-site,,
1,17,Multisite Monitor,Radix,http://disruptsf2016.devpost.com/submissions/56648-multisite-monitor,,
1,18,Plantbot,"Radix, IBM Watson",http://disruptsf2016.devpost.com/submissions/56650-plantbot,,
1,19,Bike Laser Navigation,ZTE,http://disruptsf2016.devpost.com/submissions/56653-bike-laser-navigation,,
1,20,The Support Cooperative,"SAP Hybris, Radix",http://disruptsf2016.devpost.com/submissions/56662-the-support-cooperative,,
1,21,MagicVoice,,http://disruptsf2016.devpost.com/submissions/56676-magicvoice,,
1,22,PepperHealth,"Cisco, SoftBank Robotics America, Domain.com, Twilio, Radix, MapQuest, ZTE",http://disruptsf2016.devpost.com/submissions/56680-pepperhealth,,
1,23,internetonsms,"HERE, Twilio, MapQuest",http://disruptsf2016.devpost.com/submissions/56682-internetonsms,,
1,24,FoodWagon,"Cisco, Domain.com",http://disruptsf2016.devpost.com/submissions/56693-foodwagon,,
1,25,Jukebox,"Domain.com, Amazon Alexa",http://disruptsf2016.devpost.com/submissions/56699-jukebox,,
1,26,MEZE,"Twilio, Radix, Amazon Alexa",http://disruptsf2016.devpost.com/submissions/56702-meze,,
1,27,Mapsquito,Esri,http://disruptsf2016.devpost.com/submissions/56740-mapsquito,,
1,28,Botseidon,IBM Watson,http://disruptsf2016.devpost.com/submissions/56746-botseidon,,
1,29,PickMe,,http://disruptsf2016.devpost.com/submissions/56747-pickme,,
1,30,Diet Coach Bot,"Cisco, Radix, IBM Watson",http://disruptsf2016.devpost.com/submissions/56750-diet-coach-bot,,
1,31,LoveBot,Radix,http://disruptsf2016.devpost.com/submissions/56752-lovebot,,
1,32,Commuter Incentive,"HERE, Verizon, MapQuest, ZTE",http://disruptsf2016.devpost.com/submissions/56759-commuter-incentive,,
1,33,Waiter,Twilio,http://disruptsf2016.devpost.com/submissions/56760-waiter,,
1,34,shopbot-disruptsf2016,SAP Hybris,http://disruptsf2016.devpost.com/submissions/56769-shopbot-disruptsf2016,,
1,35,minecraft-pi-ws,,http://disruptsf2016.devpost.com/submissions/56799-minecraft-pi-ws,,
1,36,myFridge.tech,"Radix, Amazon Alexa",http://disruptsf2016.devpost.com/submissions/56810-myfridge-tech,,
1,37,Optibot,"Twilio, IBM Watson",http://disruptsf2016.devpost.com/submissions/56813-optibot,,
1,38,PointShop.Space - Point to shop and discover companies,"SAP Hybris, Radix, MapQuest, TechCrunch/Crunchbase/WP data hack",http://disruptsf2016.devpost.com/submissions/56814-pointshop-space-point-to-shop-and-discover-companies,,
1,39,ReCoup,"Cisco, Esri, Braintree, Twilio, MapQuest, IBM Watson",http://disruptsf2016.devpost.com/submissions/56815-recoup,,
1,40,metermaid-monitor,Twilio,http://disruptsf2016.devpost.com/submissions/56816-metermaid-monitor,,
1,41,PeppAR Waiter with HoloYummy Food Holograms,SoftBank Robotics America,http://disruptsf2016.devpost.com/submissions/56819-peppar-waiter-with-holoyummy-food-holograms,,
1,42,nimbus,,http://disruptsf2016.devpost.com/submissions/56820-nimbus,,
1,43,WeAreTheSecret.Club,"Esri, Domain.com, IBM Watson",http://disruptsf2016.devpost.com/submissions/56821-wearethesecret-club,,
1,44,Jiley,Domain.com,http://disruptsf2016.devpost.com/submissions/56822-jiley,,
1,45,Travelerr.club ,"Cisco, Braintree, Domain.com, Twilio, MapQuest",http://disruptsf2016.devpost.com/submissions/56823-travelerr-club,,
1,46,Doge-Ball,"Verizon, Radix",http://disruptsf2016.devpost.com/submissions/56825-doge-ball,,
1,47,Incognitech,"Domain.com, Radix, Amazon Alexa, IBM Watson, TechCrunch/Crunchbase/WP data hack",http://disruptsf2016.devpost.com/submissions/56828-incognitech,,
1,48,TheEditor.Club,"Domain.com, IBM Watson, TechCrunch/Crunchbase/WP data hack",http://disruptsf2016.devpost.com/submissions/56830-theeditor-club,,
1,49,phoney.club,"Domain.com, Twilio, IBM Watson",http://disruptsf2016.devpost.com/submissions/56831-phoney-club,,
